Name,FIPS,1970,1980,1990,2000,2009,2013,type,1970-1980,1980-1990,1990-2000,2000-2009,2009-2013
"New York-Newark-Jersey City, NY-NJ-PA",35620.0,17506245,16868198,17413155,18944519,19581379,19716880,MSA,-0.03644682226256968,0.03230677040902652,0.08794293739417114,0.033617111102161035,0.006919890575633136
"Los Angeles-Long Beach-Anaheim, CA",31080.0,8456849,9410212,11273720,12365627,12762126,12945252,MSA,0.11273265018684864,0.19803039506442577,0.0968541883247056,0.032064609420937584,0.014349176618378534
"Chicago-Naperville-Elgin, IL-IN-WI",16980.0,7882788,8052932,8182076,9098316,9461816,9488493,MSA,0.021584241514550406,0.01603689190471247,0.11198136023180427,0.039952448343187896,0.002819437621699672
"Dallas-Fort Worth-Arlington, TX",19100.0,2428838,3034207,4018778,5204126,6195890,6575833,MSA,0.24924223023519887,0.32449038579108147,0.29495234621071376,0.19057263409840575,0.061321779437659485
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,5317407,5240039,5435468,5687147,5910593,5992766,MSA,-0.014549948875457575,0.037295333107253636,0.04630309662387866,0.03928964733987006,0.013902665942317372
"Houston-The Woodlands-Sugar Land, TX",26420.0,2195100,3137557,3750963,4693161,5570617,6063540,MSA,0.4293458156803791,0.19550433665428235,0.2511882948458837,0.1869648196599265,0.08848624847121966
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900.0,3164346,3426648,4157327,4837428,5384391,5759330,MSA,0.0828929579761506,0.2132343327940307,0.16359093234667377,0.1130689697086964,0.0696344303376184
"Miami-Fort Lauderdale-West Palm Beach, FL",33100.0,2236614,3220844,4056100,5007564,5484777,5673185,MSA,0.4400535809934123,0.259328300284025,0.23457607060969887,0.09529843253126669,0.034351077536971975
"Atlanta-Sandy Springs-Roswell, GA",12060.0,1852235,2338211,3082308,4263438,5257114,5379176,MSA,0.26237275507697455,0.3182334699477507,0.38319661759953916,0.2330691803187943,0.023218442666451677
"Boston-Cambridge-Newton, MA-NH",14460.0,3918092,3938585,4133895,4391344,4513934,4604278,MSA,0.005230351916187814,0.04958887519248667,0.06227758566678632,0.027916282577725715,0.02001447074768925
"Frederick County, MD",24021,84927,114792,150208,195277,224185,236668,county,0.3516549507223852,0.3085232420377726,0.3000439390711547,0.1480358669991857,0.05568169146017787
"Montgomery County, MD",24031,522809,579053,757027,873341,946172,989474,county,0.10758039743003667,0.307353558309861,0.15364577485347297,0.0833935427284418,0.045765463361841174
District of Columbia,11001,756510,638333,606900,572059,588433,619371,county,-0.15621340101254444,-0.049242323364137475,-0.057408139726478846,0.028622921761566555,0.05257692889419863
"Calvert County, MD",24009,20682,34638,51372,74563,88055,89332,county,0.6747896721787061,0.48311103412437206,0.4514326870668848,0.1809476550031517,0.014502299699051813
"Charles County, MD",24017,47678,72751,101154,120546,140181,148957,county,0.5258819581358278,0.3904138774724746,0.1917076932202384,0.1628838783534916,0.06260477525484909
"Prince George's County, MD",24033,660567,665071,729268,801515,834986,873481,county,0.0068183848118359425,0.0965265362645491,0.09906783240180572,0.04175966762942673,0.04610256938439683
"Arlington County, VA",51013,174284,152599,170936,189453,206405,214861,county,-0.12442335498381951,0.12016461444701476,0.10832709318107359,0.08947865697560875,0.040967999806206246
"Clarke County, VA",51043,8102,9965,12101,12652,14359,14191,county,0.2299432238953345,0.21435022579026586,0.04553342698950491,0.13491938033512496,-0.011699979107180125
"Culpeper County, VA",51047,18218,22620,27791,34262,44923,47330,county,0.24162915797562845,0.22860300618921303,0.23284516570112634,0.31116105306170105,0.05358057119960824
"Fairfax County, VA",51059,455021,596901,818584,969749,1012751,1101071,county,0.3118097846033481,0.37138989547680445,0.1846664484035847,0.04434343319766243,0.08720801065612371
"Fauquier County, VA",51061,26375,35889,48741,55139,66330,66015,county,0.36072037914691935,0.35810415447630195,0.13126525922734444,0.2029597925243476,-0.004748982360922693
"Loudoun County, VA",51107,37150,57427,86129,169599,277465,326477,county,0.5458142664872141,0.4997997457641876,0.9691277037931474,0.6360061085265833,0.17664209900347783
"Prince William County, VA",51153,111102,144703,215686,280813,360910,416668,county,0.3024337995715649,0.49054269780170423,0.30195283884906754,0.28523252128640775,0.15449280984178881
"Rappahannock County, VA",51157,5199,6093,6622,6983,7171,7448,county,0.1719561454125793,0.0868209420646644,0.05451525218967079,0.026922526134899094,0.038627806442615986
"Spotsylvania County, VA",51177,16424,34435,57403,90395,118512,124319,county,1.096626887481734,0.6669957891679976,0.5747434803059073,0.3110459649316888,0.04899925745916023
"Stafford County, VA",51179,24587,40470,61236,92446,120436,131885,county,0.6459917842762435,0.5131208302446257,0.5096675158403554,0.30277134759751645,0.09506293799196253
"Warren County, VA",51187,15301,21200,26142,31584,36087,37836,county,0.38553035749297426,0.2331132075471698,0.20817075969703924,0.1425721884498481,0.04846620666722079
"Alexandria city, VA",51510,110938,103217,111183,128283,142131,143684,county,-0.06959743280030284,0.07717720918065818,0.15380049108226967,0.10794883187951632,0.01092653960079093
"Fairfax city, VA",51600,21970,19390,19622,21498,23369,23027,county,-0.11743286299499323,0.01196493037648283,0.09560697176638477,0.0870313517536514,-0.014634772561941012
"Falls Church city, VA",51610,10772,9515,9578,10377,11233,12731,county,-0.11669142220571849,0.0066211245401996965,0.08342033827521411,0.08249012238604614,0.1333570729101754
"Fredericksburg city, VA",51630,14450,15322,19027,19279,22314,25931,county,0.06034602076124562,0.2418091632946091,0.013244336994796768,0.15742517765444264,0.16209554539750837
"Manassas city, VA",51683,0,15438,27957,35135,35559,39317,county,MISSING,0.8109211037699184,0.2567514397109847,0.012067738722072008,0.10568351190978365
"Manassas Park city, VA",51685,0,6524,6734,10290,11633,15125,county,MISSING,0.032188841201716833,0.528066528066528,0.13051506316812445,0.3001805209318318
Jefferson County,54037,21280,30302,35926,42190,50791,54131,county,0.4239661654135338,0.1855983103425516,0.17435840338473518,0.20386347475705136,0.06575968183339564
