"county_name_state_code","area_type","unit_type","total_housing_units"
"Rappahannock County, VA","Exurban","New",522
"Clarke County, VA","Exurban","New",1127
"Warren County, VA","Exurban","New",2604
"Culpeper County, VA","Exurban","New",5058
"independent cities of
Fredericksburg, Manassas & Manassas Park","Exurban","New",5314
"Fauquier County, VA","Exurban","New",5663
"Jefferson County, WV","Exurban","New",6021
"Calvert County, MD","Exurban","New",7513
"Spotsylvania County, VA","Exurban","New",14003
"Stafford County, VA","Exurban","New",14831
"Charles County, MD","Exurban","New",15207
"Frederick County, MD","Exurban","New",19739
"Prince William County, VA","Exurban","New",46978
"Loudoun County, VA","Exurban","New",56221
"Fairfax & Falls Church cities","Suburban","New",2017
"Prince George's County, MD","Suburban","New",41176
"Montgomery County, MD","Suburban","New",51952
"Fairfax County, VA","Suburban","New",53897
"Alexandria city, VA","Urban","New",9639
"Arlington County, VA","Urban","New",19797
"Washington, DC","Urban","New",35980
