"statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied","median_gross_rent_as_a_percentage_of_household_income","area_type","county_name_state_code","series_id","period","cpi_index","cpi_indexed_2017","2000 & After","Before 2000","housing_units_pct_change_from_2000","median_housing_value_2000"
11,"001","2017",672391,308161,537400,77649,42.21,"District of Columbia","District of Columbia","DC",5917,98896,1941,25163,3857,43419,3133,19386,21132,55001,115795,162190,29.2,"Urban","Washington, DC","CUUR0100AA0","M13",408.693,1,35980,241865,14.88,227496
24,"009","2017",90824,34785,347200,100350,42.54,"Calvert County","Maryland","MD",7014,22581,44,173,106,418,114,150,235,371,26241,5221,29.8,"Exurban","Calvert County, MD","CUUR0100AA0","M13",408.693,1,7513,23693,31.71,244863
24,"017","2017",156021,58883,294000,93973,45.81,"Charles County","Maryland","MD",13096,36219,224,733,597,959,706,616,584,623,42505,12483,31.1,"Exurban","Charles County, MD","CUUR0100AA0","M13",408.693,1,15207,39150,38.84,221418
24,"021","2017",246105,94688,315400,88502,45.56,"Frederick County","Maryland","MD",16797,58215,146,2074,1495,7161,454,930,847,1265,67295,22727,30.1,"Exurban","Frederick County, MD","CUUR0100AA0","M13",408.693,1,19739,69645,28.34,231838
24,"031","2017",1039198,386587,467500,103178,47.27,"Montgomery County","Maryland","MD",26762,220024,861,5895,5296,48029,2507,7416,16526,35241,242295,126947,30.6,"Suburban","Montgomery County, MD","CUUR0100AA0","M13",408.693,1,51952,316605,16.41,320984
24,"033","2017",905161,330326,272900,78607,42.17,"Prince George's County","Maryland","MD",29663,180497,396,5488,3572,59566,1585,4458,5960,14074,189513,117181,30.7,"Suburban","Prince George's County, MD","CUUR0100AA0","M13",408.693,1,41176,264083,15.59,210709
51,"013","2017",229534,111646,643300,112138,45.04,"Arlington County","Virginia","VA",3594,35721,228,4750,1276,12474,1096,3784,13603,25660,45525,56785,26.4,"Urban","Arlington County, VA","CUUR0100AA0","M13",408.693,1,19797,82389,24.03,379740
51,"043","2017",14331,6286,333100,72129,35.35,"Clarke County","Virginia","VA",1102,3936,0,183,0,105,12,36,13,164,4176,1392,36,"Exurban","Clarke County, VA","CUUR0100AA0","M13",408.693,1,1127,4424,25.47,201881
51,"047","2017",49795,18307,266400,69693,43.17,"Culpeper County","Virginia","VA",4752,9832,103,292,172,1002,16,125,15,49,12272,4565,30.4,"Exurban","Culpeper County, VA","CUUR0100AA0","M13",408.693,1,5058,11300,44.76,178437
51,"059","2017",1142004,411223,534800,117515,48.04,"Fairfax County","Virginia","VA",31527,249744,791,5804,6269,51691,2481,8038,12829,21970,266707,126673,28.2,"Suburban","Fairfax County, VA","CUUR0100AA0","M13",408.693,1,53897,337247,15.98,337627
51,"061","2017",68406,26413,370000,94775,41.88,"Fauquier County","Virginia","VA",5350,16690,54,469,123,588,67,43,69,162,18803,5178,27.3,"Exurban","Fauquier County, VA","CUUR0100AA0","M13",408.693,1,5663,17952,31.55,235456
51,"107","2017",374558,126162,475500,129588,58.37,"Loudoun County","Virginia","VA",47660,53040,595,1133,4408,7882,1087,846,2471,1442,94437,26862,28.1,"Exurban","Loudoun County, VA","CUUR0100AA0","M13",408.693,1,56221,64343,87.38,290159
51,"153","2017",450763,145961,358300,101059,53.61,"Prince William County","Virginia","VA",40681,74329,404,1857,3213,12203,1255,908,1425,1474,100948,38358,30.8,"Exurban","Prince William County, VA","CUUR0100AA0","M13",408.693,1,46978,90771,51.75,216498
51,"157","2017",7359,3945,358600,62541,30.36,"Rappahannock County","Virginia","VA",522,2524,0,24,0,23,0,0,0,0,2354,777,36.1,"Exurban","Rappahannock County, VA","CUUR0100AA0","M13",408.693,1,522,2571,20.3,187120
51,"177","2017",130159,46594,265600,81434,44.29,"Spotsylvania County","Virginia","VA",12605,25213,101,352,768,852,328,257,201,593,33482,9797,31.7,"Exurban","Spotsylvania County, VA","CUUR0100AA0","M13",408.693,1,14003,27267,51.36,185962
51,"179","2017",141159,47345,327600,103005,49.37,"Stafford County","Virginia","VA",13793,26585,43,385,644,2069,111,85,240,175,34377,10968,30.4,"Exurban","Stafford County, VA","CUUR0100AA0","M13",408.693,1,14831,29299,50.62,226339
51,"187","2017",38991,16188,231000,65353,38.92,"Warren County","Virginia","VA",2597,10083,0,493,7,687,0,19,0,61,10887,3303,29.1,"Exurban","Warren County, VA","CUUR0100AA0","M13",408.693,1,2604,11343,22.96,157453
51,"510","2017",154710,75489,537900,93370,44.6,"Alexandria city","Virginia","VA",2481,22470,192,2733,833,14016,744,2782,5389,16970,29576,39087,27.8,"Urban","Alexandria city, VA","CUUR0100AA0","M13",408.693,1,9639,58971,16.35,365847
51,"600","2017",23580,8843,501900,106870,42.04,"Fairfax city","Virginia","VA",853,5578,26,78,58,1464,20,92,72,258,5949,2550,31.2,"Suburban","Fairfax city, VA","CUUR0100AA0","M13",408.693,1,1029,7470,13.78,278003
51,"610","2017",13843,5805,742000,114795,49.41,"Falls Church city","Virginia","VA",318,2741,0,116,51,358,33,149,586,956,3178,2130,30.2,"Suburban","Falls Church city, VA","CUUR0100AA0","M13",408.693,1,988,4320,22.87,401013
51,"630","2017",28135,11545,341200,57258,48.1,"Fredericksburg city","Virginia","VA",1685,3686,25,629,380,2772,348,357,147,390,3746,6673,30.7,"Exurban","Fredericksburg city, VA","CUUR0100AA0","M13",408.693,1,2585,7834,33,196527
51,"683","2017",41379,13451,307000,77551,47.63,"Manassas city","Virginia","VA",891,7938,48,474,140,2280,138,106,168,240,7979,4561,33.9,"Exurban","Manassas city, VA","CUUR0100AA0","M13",408.693,1,1385,11038,12.55,223589
51,"685","2017",16117,4895,263300,79131,55.57,"Manassas Park city","Virginia","VA",563,3140,0,80,222,157,259,41,300,4,3224,1554,25.3,"Exurban","Manassas Park city, VA","CUUR0100AA0","M13",408.693,1,1344,3422,39.28,167873
54,"037","2017",55673,22813,227300,72526,42.47,"Jefferson County","West Virginia","WV",5855,11645,20,505,146,874,0,76,0,117,15420,5388,28.7,"Exurban","Jefferson County, WV","CUUR0100AA0","M13",408.693,1,6021,13217,45.55,168886
