"area_type","year","s_white","s_aa","s_hisp"
"Exurban",1970,NA,NA,NA
"Exurban",1980,0.882730704273819,0.113274240116878,0.0122236325575148
"Exurban",1990,0.866884885825638,0.106184886146758,0.022995432597361
"Exurban",2000,0.795215839478017,0.129766440389158,0.0492348285375561
"Exurban",2009,0.726258577525262,0.149231798412637,0.0970145980847619
"Exurban",2013,0.709244343662826,0.155395901505924,0.118567267053204
"Exurban",2017,0.687900407116022,0.156984985142229,0.131964236624733
"Suburban",1970,NA,NA,NA
"Suburban",1980,0.797941099399443,0.180545261052553,0.0306936623296059
"Suburban",1990,0.680192058623551,0.225632465739163,0.0594182973241266
"Suburban",2000,0.553927546628407,0.267249521759924,0.100050065758011
"Suburban",2009,0.518265617492737,0.276757276178173,0.138331440111069
"Suburban",2013,0.490653660396882,0.278131358791166,0.161929658935443
"Suburban",2017,0.472153342130351,0.279342118826322,0.174379102793853
"Urban",1970,NA,NA,NA
"Urban",1980,0.440159302308676,0.547308110840587,0.0344562259757602
"Urban",1990,0.435695975001659,0.497464058698408,0.0740186655178348
"Urban",2000,0.430295742277716,0.437755887592086,0.111232362510466
"Urban",2009,0.480107666315534,0.397446447000915,0.111042094242179
"Urban",2013,0.50443085091153,0.367911967899083,0.118445756077209
"Urban",2017,0.505362779010727,0.355338409195228,0.126264982704529
